year,country,region,january,february,march,april,may,june,july,august,september,october,november,december
12,austria,europa,843,889,658,390,258,276,610,457,315,317,484,653
12,belgica,europa,1197,1319,1249,762,389,416,1487,588,498,530,836,964
12,dinamarca,europa,734,577,314,250,166,254,408,163,116,235,314,471
05,estados_unidos,america_del_norte,66095,71945,90193,63650,60659,75428,80576,57000,34519,38096,50541,69432
12,finlandia,europa,259,237,175,119,84,69,66,55,65,76,153,309
12,francia,europa,4656,5658,4410,3765,1933,1330,3487,3197,1237,1968,3077,3421
12,irlanda,europa,208,217,226,209,227,151,306,228,132,165,245,240
12,italia,europa,2727,2096,1607,1373,1193,1163,1552,2099,1146,1341,1686,2352
12,noruega,europa,455,420,465,306,210,229,277,128,138,159,337,511
11,otros_caribe,caribe,113,127,128,130,132,166,153,196,134,205,135,106
06,estados_unidos,america_del_norte,72761,72561,86052,63199,55581,70383,68418,52492,31389,34813,50610,72977
12,polonia,europa,224,294,268,155,140,126,140,176,106,144,446,186
12,portugal,europa,164,139,230,176,274,126,166,196,134,124,157,130
12,reino_unido,europa,3342,3808,3587,2637,1722,1674,2431,2368,1310,2013,3586,3452
12,republica_checa,europa,180,195,189,130,75,52,108,80,62,137,239,171
12,rusia,europa,487,264,279,319,302,149,190,223,185,255,356,535
12,suecia,europa,1327,1189,766,569,281,251,241,200,186,335,630,1856
12,suiza,europa,2158,1900,1663,1553,837,748,1964,831,655,886,1619,2055
12,otras_zonas,otras_zonas,1261,820,850,833,767,751,796,710,600,642,975,1321
13,africa,africa,163,124,204,201,192,160,159,195,249,146,163,211
13,belice,america_central,122,55,213,57,123,53,114,88,63,50,55,67
13,el_salvador,america_central,5998,4679,6571,5116,5237,4964,5330,6008,4535,5182,5160,5772
13,guatemala,america_central,4962,4309,5335,4991,4892,4781,4551,4139,4579,4685,4770,4762
13,honduras,america_central,3940,2372,3538,3146,2874,4693,3316,2838,3096,3221,2695,3111
13,nicaragua,america_central,77593,37904,38177,42891,33728,35684,39567,32711,31795,33082,34450,39096
13,panama,america_central,11683,8831,7068,6903,7221,7952,6754,7391,8244,8183,8844,9201
13,canada,america_del_norte,26054,26044,23053,12947,7852,5740,8968,7180,3989,5187,11592,21792
07,estados_unidos,america_del_norte,69209,71420,83719,65713,61873,80881,81924,59526,35043,39748,61709,79550
13,mexico,america_del_norte,5906,5431,6826,5903,5738,5614,8271,5988,5298,5828,5191,6574
13,argentina,america_del_sur,4600,2429,2312,1871,1577,1491,1730,1616,1357,1534,1500,1839
13,bolivia,america_del_sur,206,125,122,161,132,164,250,155,209,143,216,189
13,brasil,america_del_sur,1813,1407,1248,1240,1204,1254,1581,1271,1085,1020,1214,1597
13,chile,america_del_sur,2021,1732,747,724,684,717,1109,813,754,701,725,679
13,colombia,america_del_sur,3960,2642,2797,2979,2677,2892,3074,3102,2682,2977,3007,3413
13,ecuador,america_del_sur,631,372,456,472,466,517,552,517,550,405,396,400
13,paraguay,america_del_sur,83,68,71,77,77,71,63,79,61,38,117,67
13,peru,america_del_sur,913,799,839,867,879,771,748,822,722,715,672,643
13,uruguay,america_del_sur,349,297,472,297,271,300,262,235,190,213,246,222
13,venezuela,america_del_sur,3176,3156,2950,2911,2809,3011,4029,4281,4322,6666,9825,8268
08,estados_unidos,america_del_norte,75469,79748,98821,70171,62685,82660,82233,63243,31085,37756,51021,72270
09,estados_unidos,america_del_norte,69586,66367,81591,67904,61125,78381,79344,62783,34749,36730,53784,77785
13,corea_sur_norte,asia,385,247,352,220,273,241,326,320,249,223,328,318
13,israel,asia,938,1075,1347,897,932,666,1009,891,786,466,736,1021
13,japon,asia,527,475,536,381,335,327,341,407,334,328,374,567
12,otros_caribe,caribe,130,106,171,157,150,210,179,199,151,142,149,114
13,cuba,caribe,483,252,265,326,225,242,319,242,261,203,283,271
13,jamaica,caribe,48,27,123,71,71,78,96,119,71,57,65,65
13,otros_caribe,caribe,132,112,158,155,131,230,163,282,166,105,125,133
10,estados_unidos,america_del_norte,76276,79446,95926,69381,62681,84462,85245,65090,37288,39149,56984,79065
13,republica_dominicana,caribe,462,436,391,519,439,474,450,513,428,377,389,277
13,trinidad_y_tobago,caribe,48,87,61,79,75,83,134,192,97,77,58,80
13,alemania,europa,5775,7159,6577,4173,2603,2464,3933,4176,3090,3361,5791,5652
